"FedEx Trade Networks Opens New Distribution Facility in Romulus","FDX-US,0037PN-E,FDX","BW"," 6:00am","18-Jun-13"
"StreetAccount Consensus Metrics Preview - FDX Q4 Earnings","FDX-US","SA"," 9:47am","17-Jun-13"
"FedEx Corp.(FDX-US) Schedules Q3 2014 Earnings Release for 19-March-2014 7:30 AM ET","FDX-US","FCST"," 7:28pm","14-Jun-13"
"FedEx Corp.(FDX-US) Schedules Q4 2014 Earnings Release for 18-June-2014 7:30 AM ET","FDX-US","FCST"," 4:48pm","14-Jun-13"
"FedEx Corp.(FDX-US) Schedules Annual General Meeting for 23-September-2013 9:00 AM ET","FDX-US","FCST"," 6:20pm","13-Jun-13"
"FedEx Corp.(FDX-US) Schedules Q4 2014 Earnings Call for 18-June-2014 8:30 AM ET","FDX-US","FCST"," 6:20pm","13-Jun-13"
"FedEx Corp.(FDX-US) Schedules Q3 2014 Earnings Call for 19-March-2014 8:30 AM ET","FDX-US","FCST"," 6:20pm","13-Jun-13"
"FedEx target increased to $105 from $100 at Bernstein","FDX-US","SA"," 3:39am","12-Jun-13"
"FedEx Freight to increase shipping rates","FDX-US,DPW-DE,UPS...","SA"," 5:31am","10-Jun-13"
"FedEx Freight to Increase Shipping Rates","FDX-US,081CD3-E,FDX","BW"," 5:30am","10-Jun-13"
"FedEx intensifie ses efforts pour relier le monde de manière responsable et judicieuse","FDX-US","PRNE","12:00am","6-Jun-13"
"(RNS)  Journey Group plc  New contract win","JNY-GB,FDX-US,05W...","FECA","11:00pm","5-Jun-13"
"CEO MAIER -Initial Statement of Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 2:12pm","4-Jun-13"
"CEO MAIER Acquires 4,725 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 2:02pm","4-Jun-13"
"CEO SMITH Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:50pm","4-Jun-13"
"EVP RICHARDS Acquires 5,720 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:46pm","4-Jun-13"
"VP MERINO Acquires 1,475 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:43pm","4-Jun-13"
"CEO LOGUE Acquires 4,725 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:39pm","4-Jun-13"
"CFO GRAF JR Acquires 5,720 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:35pm","4-Jun-13"
"EVP GLENN Acquires 5,720 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:31pm","4-Jun-13"
"CIO CARTER Acquires 5,720 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:27pm","4-Jun-13"
"CEO BRONCZEK Acquires 7,370 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:23pm","4-Jun-13"
"FEDEX CORP files (8-K) Current report: Items 2.02 - Results of Operations, 2.05 - Costs of Exits or Disposals, 2.06 - Material Impairments, 9.01 - Financial Statements and Exhibits, for period end 31-May-13 (FDX-US)","FDX-US,FDX","EDG"," 2:35pm","3-Jun-13"
"FedEx increases quarterly dividend by 7.1% to $0.15 from $0.14; permanently retires or will accelerate retirement of 86 aircraft and 308 related engines","FDX-US","SA"," 1:17pm","3-Jun-13"
"FedEx Corp. Accelerates Aircraft Retirements","FDX-US,FDX","BW"," 1:15pm","3-Jun-13"
"FedEx Boosts Efforts to Connect the World in Responsible and Resourceful Ways","FDX-US,FDX","BW"," 6:00am","23-May-13"
"FedEx estimates and target reduced at JPMorgan","FDX-US","SA"," 4:29am","17-May-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 17-May-2013","FDX-US,31428X10","FIO"," 1:50am","17-May-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 16-May-2013","FDX-US,31428X10","FIO"," 4:10am","16-May-13"
"National Salvation Army Week To Be Celebrated With Gift Of $100,000 Disaster Response Unit From FedEx At The 911th Airlift Wing","FDX-US","PRN"," 4:15am","13-May-13"
"CIO CARTER Gifts 315 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 3:02pm","9-May-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for  9-May-2013","FDX-US,31428X10","FIO"," 2:30am","9-May-13"
"CIO CARTER Sells 27,502 of FEDEX CORP (FDX)","FDX-US,FDX","EDG","11:52am","8-May-13"
"FedEx Delivers for Millions of Moms this Mother's Day","FDX-US,FDX","BW"," 6:00am","8-May-13"
"FedEx Corp.(FDX-US) Schedules Robert W. Baird Growth Stock Conference for 8-May-2013 12:30 PM ET","FDX-US","FCST","11:46am","7-May-13"
"Dir JACKSON Sells 4,089 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 9:40am","6-May-13"
"Despite Recent Disasters, Survey Shows Most Small Business Owners Still Not Getting Prepared","FDX-US,FDX","BW"," 6:00am","2-May-13"
"Dir EDWARDSON Sells 6,542 of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:56pm","26-Apr-13"
"FEDERAL EXPRESS CORP files (8-K) Current report: Item 1.01 - Entry into Definitive Agreement, for period end 23-Apr-13 (FDX-US)","FDX-US,FDX","EDG","12:48pm","26-Apr-13"
"FedEx signs new express air transportation agreement with United States Postal Service","FDX-US","SA"," 2:01pm","23-Apr-13"
"FedEx Signs New Express Air Transportation Agreement with United States Postal Service","FDX-US,FDX","BW"," 2:00pm","23-Apr-13"
"Package Recipients Can Now Customize Deliveries to Their Home with FedEx Delivery ManagerSM","FDX-US,FDX","BW"," 6:30am","23-Apr-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 20-Apr-2013","FDX-US,31428X10","FIO"," 1:40am","20-Apr-13"
"FedEx Marks 40th Anniversary with Community Service, Eye to the Future","FDX-US,FDX","BW"," 6:00am","17-Apr-13"
"FEDERAL EXPRESS CORP files (8-K) Current report: Items 8.01 - Other Events, 9.01 - Financial Statements and Exhibits, for period end 11-Apr-13 (FDX-US)","FDX-US,FDX","EDG"," 7:54am","11-Apr-13"
"FedEx Trade Networks Announces Expanded Infrastructure in Latin America","FDX-US,0037PN-E,FDX","BW"," 7:00am","11-Apr-13"
"FEDERAL EXPRESS CORP files (424B5) Prospectus used for both 424B2 and 424B3 information (FDX-US)","FDX-US,FDX","EDG"," 1:07pm","9-Apr-13"
"FedEx Custom Critical Launches ShipmentWatchSM","0037PH-E,FDX-US","BW"," 5:17am","9-Apr-13"
"FEDEX CORP files (FWP) Free writing prospectus after a registration statement has been filed (FDX-US)","FDX-US,FDX","EDG"," 1:52pm","8-Apr-13"
"VP MERINO Sells 3,500 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 7:40am","8-Apr-13"
"FedEx Corp. and National Fish and Wildlife Foundation Announce 2013 Urban Conservation Projects","FDX-US,FDX","BW"," 6:00am","8-Apr-13"
"FEDERAL EXPRESS CORP files (424B3) Prospectus detailing significant change to previous prospectus (FDX-US)","FDX-US,FDX","EDG"," 5:45am","8-Apr-13"
"FedEx Corp.(FDX-US) Schedules Q2 2014 Earnings Call for 18-December-2013 8:30 AM ET","FDX-US","FCST"," 1:28pm","5-Apr-13"
"FedEx Corp.(FDX-US) Schedules Q2 2014 Earnings Release for 18-December-2013 7:30 AM ET","FDX-US","FCST"," 1:28pm","5-Apr-13"
"FedEx Corp.(FDX-US) Schedules Q1 2014 Earnings Call for 18-September-2013 8:30 AM ET","FDX-US","FCST"," 1:28pm","5-Apr-13"
"FedEx Corp.(FDX-US) Schedules Q1 2014 Earnings Release for 18-September-2013 7:30 AM ET","FDX-US","FCST"," 1:28pm","5-Apr-13"
